R_2AMACHYD	10691
R_2AMACSULT	11455
R_3NTD7l	123 or 124 or 125 or 29609
R_5ADTSTSTERONESULT	11455 or 11458
R_ACACT10m	4803 or 83 or 93
R_ACCOAC	(84 and 85) or 84
R_ACCOALm	16091 or 24723
R_ACNAMPH	124 or 29609
R_ACONTm	117 or 118
R_ACP1_FMN_	122 or 124 or 125 or 29609
R_ADK1	20091 or 361 or 362 or 365
R_AGPAT1	20880 or 20885 or 20886 or 25193 or 324 or 325 or 326
R_ALDD2x	15472 or 402 or 403 or 405 or 407 or 409 or 410 or 411 or 412 or 877
R_ALDD2y	15472 or 403 or 405 or 407 or 410 or 411 or 412
R_ARGN	663 or 664
R_ATPH2e	24860 or 3363 or 3364 or 3365 or 3367 or 3368
R_C160CPT2	2328 or 2330
R_CDS	1800 or 1801
R_CDSm	1800 or 1801
R_CHSTEROLSULT	11455 or 11459
R_CSNATr	2342
R_CTPS1	2519 or 2520
R_CTPS2	2519 or 2520
R_D3AIBTm	14412
R_DCIm	14601 or 2703
R_DESAT18_9	3574 or 3575
R_DHCR242r	2651 or 2859
R_DHEASULT	11377 or 11455 or 11458
R_DHPM2	3013
R_DUTPDPm	3078 or 6176
R_ESTSULT	11377 or 11453 or 11455
R_ETHAK	1937 or 1938 or 24649 or 25575
R_FA160ACPH	25625 or 3594
R_FACOAL160i	16526 or 24174 or 3569 or 3570 or 3571
R_FACOAL161	24174 or 3569
R_FACOAL181i	24174 or 3569 or 3570 or 3571
R_FACOAL1821	24174 or 3569 or 3570 or 3571
R_FACOAL1831	16496 or 16526 or 24174 or 3569 or 3570 or 3571
R_FACOAL204	24174 or 3569 or 3570 or 3571
R_FADDP	3356 or 3358
R_FAEL183	14415 or 14416 or 15829 or 21308
R_FAEL184	14415 or 14416 or 15829 or 21308
R_FAEL204	14415 or 14416 or 15829 or 21308
R_FAEL205	14415 or 14416 or 15829 or 21308
R_FAS100COA	(14416 and 15829 and 21308 and 3594) or 3594
